Gene	HT_Pvalue	MS_Pvalue	Known_MS_gene	known_HT_gene
C10orf72	1.00E-05	0.162		
C10orf128	2.00E-05	0.04606		
ZNF404	2.60E-05	0.09541		
NEBL	5.20E-05	0.504		
DTD1	6.90E-05	0.0308		
CDC27	8.20E-05	0.159		
ZNF221	9.10E-05	0.463		
ZDHHC14	0.000103	0.0353		
GAB1	0.000264	0.24		
RABGGTA	0.000307	0.177		
SEC23B	0.000331	0.171		
ZNF45	0.000439	0.343		
HIST1H2BD	0.000578	0.00278		
RIPK3	0.000646	0.601		
LYPD5	0.000659	0.10006		
ZNF283	0.000665	0.05873		
ADCY4	0.000667	0.415		
LOC285033	0.000676	0.06212		
LACE1	0.00068	0.711		
YWHAB	0.000681	0.03365		
LOC283514	0.000714	0.155		
STARD7	0.000718	0.185		
YWHAB	0.000724	0.03365		
LACE1	0.000768	0.711		
GALC	0.00262	0.0000001	YES	
SLC35F5	0.000879	0.339		
KIAA1161	0.000879	0.509		
SLC35F5	0.00091	0.339		
SEMA4F	0.000942	0.0688		
ZFAND2B	0.000942	0.378		
C2orf65	0.000948	0.06843		
LTB4R	0.000962	0.397		
C14orf21	0.00099	0.236		
ABCB6	0.000992	0.403		
LTB4R	0.00101	0.397		
CIDEB	0.001015	0.321		
LTB4R2	0.001026	0.328		
TOMM34	0.001046	0.0383		
DHRS1	0.001055	0.276		
RBBP9	0.001068	0.352		
MAN2A1	0.001081	0.164		
FAM173B	0.001134	0.819		
ANG	0.00116	0.297		
PABPC1L	0.00117	0.02616		
MSI1	0.001179	0.409		
CCT5	0.001239	0.737		
CMBL	0.00129	0.823		
HIST1H4C	0.00132	0.05437		
HIST1H1T	0.00139	0.0579		
PLA2G1B	0.00139	0.276		
PODN	0.001416	0.04291		
HIST1H3D	0.00143	0.001966		
HIST1H2BC	0.001436	0.123		
HIST1H2AC	0.00144	0.148		
NHEJ1	0.00147	0.7		
OR6S1	0.001481	0.248		
SLC23A3	0.00154	0.437		
HIST1H4D	0.001573	0.00169		
C2orf24	0.00159	0.445		
HIST1H2BF	0.0016	0.00178		
FAM134A	0.001614	0.442		
HIST1H1E	0.001615	0.03249		
HIST1H2BE	0.001647	0.00124		
HIST1H2AD	0.0017	0.00176		
USP38	0.001731	0.192		
C6orf191	0.00192	0.00667		
DHDDS	0.002	0.389		
DFNB31	0.00205	0.646		
FAM49A	0.002071	0.316		
HMGN2	0.002118	0.335		
SOCS1	0.04333	0.0000001	YES	
TDP1	0.0022	0.304		
GCS1	0.00225	0.988		
LIN28	0.00227	0.524		
C2orf67	0.002291	0.57		
LY75	0.00233	0.02189		
WDR54	0.00237	0.982		
FANK1	0.002413	0.193		
TTC31	0.00242	0.962		
MRPL53	0.00242	0.995		
ACADL	0.00248	0.409		
WBP1	0.002483	0.989		
SFT2D1	0.00249	0.634		
GPR65	0.00251	0.000001		
ZNHIT4	0.00255	0.99		
NETO2	0.00258	0.413		
CCDC142	0.002586	0.977		
