GeneID	GeneSymbol	Node Class
6712	SPTBN2	Neutral
8563	THOC5	Dispensable
57104	PNPLA2	Dispensable
4863	NPAT	Dispensable
56243	KIAA1217	Neutral
3163	HMOX2	Indispensable
80176	SPSB1	Neutral
4628	MYH10	Neutral
1387	CREBBP	Indispensable
55854	ZC3H15	Dispensable
1785	DNM2	Neutral
7004	TEAD4	Dispensable
2634	GBP2	Indispensable
4361	MRE11A	Dispensable
10097	ACTR2	Neutral
5499	PPP1CA	Indispensable
9363	RAB33A	Dispensable
51599	LSR	Dispensable
6642	SNX1	Indispensable
4893	NRAS	Neutral
5810	RAD1	Neutral
85445	CNTNAP4	Neutral
1630	DCC	Neutral
51474	LIMA1	Dispensable
8409	UXT	Neutral
79813	EHMT1	Dispensable
6531	SLC6A3	Dispensable
3185	HNRNPF	Neutral
3109	HLA-DMB	Neutral
7022	TFAP2C	Indispensable
728	C5AR1	Neutral
11345	GABARAPL2	Indispensable
9638	FEZ1	Indispensable
1244	ABCC2	Neutral
3936	LCP1	Neutral
29	ABR	Neutral
10376	TUBA1B	Indispensable
350	APOH	Neutral
58526	MID1IP1	Dispensable
4087	SMAD2	Indispensable
11051	NUDT21	Indispensable
1969	EPHA2	Neutral
1810	DR1	Neutral
6233	RPS27A	Neutral
2203	FBP1	Neutral
6358	CCL14	Neutral
399687	MYO18A	Neutral
90627	STARD13	Neutral
311	ANXA11	Neutral
10233	LRRC23	Neutral
54971	BANP	Neutral
4836	NMT1	Indispensable
8850	KAT2B	Indispensable
825	CAPN3	Dispensable
917	CD3G	Indispensable
3431	SP110	Dispensable
6003	RGS13	Neutral
29899	GPSM2	Neutral
91977	MYOZ3	Dispensable
9600	PITPNM1	Dispensable
84467	FBN3	Neutral
8048	CSRP3	Indispensable
1816	DRD5	Neutral
51538	ZCCHC17	Dispensable
57658	CALCOCO1	Indispensable
9126	SMC3	Neutral
7337	UBE3A	Indispensable
5174	PDZK1	Neutral
9968	MED12	Indispensable
23534	TNPO3	Dispensable
50628	GEMIN4	Neutral
9961	MVP	Dispensable
26986	PABPC1	Neutral
79902	NUP85	Dispensable
5464	PPA1	Neutral
57459	GATAD2B	Dispensable
2976	GTF3C2	Dispensable
171392	ZNF675	Dispensable
3824	KLRD1	Indispensable
3475	IFRD1	Neutral
55109	AGGF1	Neutral
80349	WDR61	Dispensable
143241	DYDC1	Neutral
8193	DPF1	Neutral
10526	IPO8	Dispensable
55814	BDP1	Dispensable
5531	PPP4C	Indispensable
3238	HOXD12	Neutral
2274	FHL2	Indispensable
117854	TRIM6	Neutral
2002	ELK1	Neutral
4902	NRTN	Dispensable
4591	TRIM37	Indispensable
5873	RAB27A	Indispensable
4261	CIITA	Neutral
51109	RDH11	Neutral
57685	CACHD1	Neutral
29922	NME7	Neutral
10919	EHMT2	Indispensable
4066	LYL1	Neutral
9440	MED17	Neutral
51206	GP6	Neutral
3239	HOXD13	Dispensable
116379	IL22RA2	Dispensable
2045	EPHA7	Neutral
10611	PDLIM5	Dispensable
221016	CCDC7	Neutral
5310	PKD1	Dispensable
23048	FNBP1	Dispensable
6375	XCL1	Neutral
943	TNFRSF8	Neutral
27158	NDOR1	Dispensable
55758	RCOR3	Neutral
6631	SNRPC	Neutral
2705	GJB1	Neutral
7098	TLR3	Neutral
55209	SETD5	Dispensable
51322	WAC	Dispensable
10691	GMEB1	Dispensable
55968	NSFL1C	Neutral
4094	MAF	Neutral
5970	RELA	Indispensable
8321	FZD1	Neutral
6421	SFPQ	Neutral
3419	IDH3A	Dispensable
3326	HSP90AB1	Indispensable
85362	85362	Dispensable
5433	POLR2D	Neutral
10430	TMEM147	Dispensable
4209	MEF2D	Neutral
50616	IL22	Neutral
260425	MAGI3	Indispensable
4784	NFIX	Indispensable
26234	FBXL5	Dispensable
3627	CXCL10	Dispensable
7514	XPO1	Indispensable
39	ACAT2	Neutral
7466	WFS1	Dispensable
558	AXL	Neutral
51025	Magmas	Indispensable
3200	HOXA3	Dispensable
5443	POMC	Indispensable
5536	PPP5C	Neutral
573	BAG1	Neutral
203068	TUBB	Indispensable
8091	HMGA2	Dispensable
7184	HSP90B1	Neutral
26013	L3MBTL	Indispensable
60436	TGIF2	Dispensable
5324	PLAG1	Dispensable
10238	WDR68	Dispensable
1	A1BG	Dispensable
506	ATP5B	Dispensable
3218	HOXB8	Neutral
51222	ZNF219	Dispensable
51058	ZNF691	Dispensable
5929	RBBP5	Dispensable
84707	BEX2	Dispensable
9873	FCHSD2	Neutral
8600	TNFSF11	Indispensable
63935	PCIF1	Dispensable
83860	TAF3	Neutral
64777	RMND5B	Dispensable
10075	HUWE1	Dispensable
2719	GPC3	Neutral
2690	GHR	Indispensable
147700	KLC3	Neutral
581	BAX	Neutral
23379	KIAA0947	Dispensable
4046	LSP1	Dispensable
4676	NAP1L4	Dispensable
9240	PNMA1	Neutral
6837	MED22	Neutral
6709	SPTAN1	Indispensable
8941	CDK5R2	Dispensable
6097	RORC	Neutral
6780	STAU1	Indispensable
57062	DDX24	Neutral
1975	EIF4B	Neutral
255758	TCTEX1D2	Dispensable
51560	RAB6B	Dispensable
54935	DUSP23	Indispensable
1973	EIF4A1	Dispensable
91544	UBXN11	Neutral
1991	ELA2	Indispensable
26525	IL1F5	Neutral
79005	SCNM1	Dispensable
9467	SH3BP5	Dispensable
90462	ZNF605	Dispensable
