Chr	Gene	nSNPs	nSims	Start	Stop	Test	GenePvalue	Best-SNP	SNP-pvalue
6	BTNL2	22	1.00E+06	32470490	32482878	Inf	0.0000001	rs3129860	0
6	HLA-DRA	16	1.00E+06	32515624	32520802	Inf	0.0000001	rs3129860	0
6	C6orf10	20	1.00E+06	32368452	32447634	3942.686756	0.0000001	rs3129941	4.70E-283
6	AGER	17	1.00E+06	32256723	32260001	2090.69579	0.0000001	rs3134603	1.37E-251
6	AGPAT1	17	1.00E+06	32243966	32253820	2090.69579	0.0000001	rs3134603	1.37E-251
6	CREBL1	6	1.00E+06	32191022	32203995	1246.334291	0.0000001	rs3134603	1.37E-251
6	EGFL8	11	1.00E+06	32240382	32244040	1658.55262	0.0000001	rs3134603	1.37E-251
6	FKBPL	7	1.00E+06	32204461	32206045	1271.092245	0.0000001	rs3134603	1.37E-251
6	GPSM3	18	1.00E+06	32266520	32271278	2132.830442	0.0000001	rs3134603	1.37E-251
6	NOTCH4	19	1.00E+06	32270597	32299822	2195.305066	0.0000001	rs3134603	1.37E-251
6	PBX2	17	1.00E+06	32260487	32265941	2090.69579	0.0000001	rs3134603	1.37E-251
6	PPT2	9	1.00E+06	32229278	32239430	1428.214362	0.0000001	rs3134603	1.37E-251
6	PRRT1	8	1.00E+06	32224117	32227698	1415.868648	0.0000001	rs3134603	1.37E-251
6	RNF5	17	1.00E+06	32254139	32256548	2090.69579	0.0000001	rs3134603	1.37E-251
6	TNXB	6	1.00E+06	32116910	32185129	1214.648666	0.0000001	rs3134603	1.37E-251
6	HLA-DOB	37	1.00E+06	32888517	32892803	4605.149823	0.0000001	rs7767167	2.60E-250
6	HLA-DQA2	8	1.00E+06	32817140	32823199	2340.445014	0.0000001	rs7767167	2.60E-250
6	PSMB8	38	1.00E+06	32916471	32920690	3834.792184	0.0000001	rs7767167	2.60E-250
6	TAP1	42	1.00E+06	32920963	32929726	4110.868925	0.0000001	rs7767167	2.60E-250
6	TAP2	40	1.00E+06	32897587	32914525	4805.851814	0.0000001	rs7767167	2.60E-250
6	AIF1	14	1.00E+06	31691011	31692777	1146.594055	0.0000001	rs3130617	6.80E-100
6	APOM	14	1.00E+06	31731649	31733966	1011.637676	0.0000001	rs3130617	6.80E-100
6	BAT2	15	1.00E+06	31696428	31713533	1063.844769	0.0000001	rs3130617	6.80E-100
6	BAT3	14	1.00E+06	31714783	31728456	1000.90443	0.0000001	rs3130617	6.80E-100
6	BAT4	16	1.00E+06	31737840	31741142	1019.07892	0.0000001	rs3130617	6.80E-100
6	BAT5	15	1.00E+06	31762714	31779067	1020.630088	0.0000001	rs3130617	6.80E-100
6	C6orf47	13	1.00E+06	31734053	31736528	932.1668548	0.0000001	rs3130617	6.80E-100
6	CSNK2B	17	1.00E+06	31741635	31745822	1059.364701	0.0000001	rs3130617	6.80E-100
6	LY6G5B	18	1.00E+06	31746706	31748206	1089.584758	0.0000001	rs3130617	6.80E-100
6	LY6G5C	18	1.00E+06	31752439	31756120	1089.584758	0.0000001	rs3130617	6.80E-100
6	LY6G6F	14	1.00E+06	31782662	31786351	1012.08943	0.0000001	rs3130617	6.80E-100
6	HLA-DQA1	4	1.00E+06	32713160	32719407	828.3549051	0.0000001	rs1063355	1.57E-86
6	HLA-DQB1	4	1.00E+06	32735634	32742444	828.3549051	0.0000001	rs1063355	1.57E-86
6	MUC21	15	1.00E+06	31059463	31065654	784.4001793	0.0000001	rs2844670	2.03E-86
6	HLA-DRB1	3	1.00E+06	32654524	32665540	439.6357905	0.0000001	rs532098	3.73E-76
6	BRD2	34	1.00E+06	33044414	33057260	1350.880542	0.0000001	rs3135029	5.99E-66
6	HLA-DMA	20	1.00E+06	33024372	33028831	1342.288103	0.0000001	rs3135029	5.99E-66
6	HLA-DMB	23	1.00E+06	33010392	33016795	1452.239151	0.0000001	rs3135029	5.99E-66
